No,Name,Pos,Yr,Ht,Wt,Hometown,Last School,Season
13,"Apple, Eli",CB,FR,6-1,194,"Voorhees, NJ",Eastern,2013
76,"Baldwin, Darryl",OL,JR,6-6,310,"Solon, OH",Solon,2013
28,"Ball, Warren",RB,FR,6-1,222,"Columbus, OH",DeSales,2013
4,"Barnett, C.J.",SS,SR,6-1,204,"Dayton, OH",Northmont,2013
16,"Barrett, J.T.",QB,FR,6-1,222,"Wichita Falls, TX",Rider,2013
24,"Basil, Drew",K,SR,6-1,212,"Chillicothe, OH",Chillicothe,2013
85,"Baugh, Marcus",TE,FR,6-4,240,"Riverside, CA",John W. North,2013
6,"Bell, Vonn",DB,FR,5-11,190,"Rossville, GA",Ridgeland,2013
63,"Bennett, Michael",DL,JR,6-3,285,"Centerville, OH",Centerville,2013
64,"Blackman, Ivon",OL,SR,6-2,312,"Bedford, OH",Bedford,2013
30,"Bogard, Devan",S,SO,6-1,198,"Cleveland, OH",Glenville,2013
50,"Boren, Jacoby",OL,SO,6-2,290,"Pickerington, OH",Central,2013
97,"Bosa, Joey",DL,FR,6-6,275,"Fort Lauderdale, FL",St. Thomas Aquinas,2013
10,"Brown, Corey",WR,SR,6-1,190,"Upper Darby, PA",Cardinal O'Hara,2013
3,"Brown, Corey",DB,SR,6-1,203,"Monroeville, PA",Gateway,2013
55,"Brown, Tommy",OL,SO,6-4,308,"Akron, OH",Firestone,2013
2,"Bryant, Christian",S,SR,5-10,193,"Cleveland, OH",Glenville,2013
48,"Burger, Joe",LB,SO,6-2,235,"Cincinnati, OH",LaSalle,2013
16,"Burrows, Cam",DB,FR,6-1,205,"Trotwood, OH",Trotwood Madison,2013
17,"Butler, Devonte",CB,FR,5-7,170,"Columbus, OH",Eastmoor Academy,2013
72,"Carter, Chris",DL,SO,6-4,340,"Cleveland, OH",John F. Kennedy,2013
82,"Carter, Ryan",TE,SO,6-6,225,"Reynoldsburg, OH",Reynoldsburg,2013
49,"Cataline, Craig",LB,JR,6-1,225,"Columbus, OH",Grandview Heights,2013
82,"Clark, James",WR,FR,5-9,185,"New Smyrna Beach, FL",New Smyrna Beach,2013
39,"Clinton, Kyle",K,JR,6-1,220,"Dublin, OH",Coffman,2013
19,"Conley, Gareon",CB,FR,6-2,185,"Massillon, OH",Washington,2013
68,"Decker, Taylor",OL,SO,6-7,315,"Vandalia, OH",Butler,2013
66,"Dodson, Kyle",OL,FR,6-6,310,"Cleveland, OH",Cleveland Heights,2013
32,"Doup, Russell",S,JR,6-1,197,"Mt. Vernon, OH",Mt. Vernon,2013
25,"Dunn, Bri'onte",RB,SO,6-1,220,"Canton, OH",GlenOak,2013
65,"Elflein, Pat",OL,FR,6-3,295,"Pickerington, OH",Pickerington North,2013
15,"Elliott, Ezekiel",RB,FR,6-1,218,"St. Louis, MO",John Burroughs,2013
33,"Epitropoulos, Frank",WR,FR,6-1,200,"Upper Arlington, OH",Upper Arlington,2013
38,"Fada, Craig",LB,SO,6-1,235,"Columbus, OH",Bishop Watterson,2013
57,"Farris, Chase",OL,SO,6-4,308,"Elyria, OH",Elyria,2013
80,"Fields, Chris",WR,SR,6-1,200,"Painesville, OH",Painesville Harvey,2013
86,"Franklin, Khaleed",WR,FR,6-2,203,"Columbus, OH",Beechcroft,2013
94,"Frazier, Rashad",DL,SO,6-4,278,"Middletown, OH",Middletown,2013
61,"Gaskey, Logan",OL,FR,6-4,292,"Long Grove, IL",Adlai E. Stevenson,2013
14,"Grant, Curtis",LB,JR,6-3,243,"Richmond, VA",Hermitage,2013
12,"Grant, Doran",CB,JR,5-11,191,"Akron, OH",St. Vincent-St. Mary,2013
8,"Greene, Jeff",WR,JR,6-5,218,"Peachtree City, GA",Starr's Mill,2013
11,"Griffin, Adam",CB,JR,5-8,183,"Columbus, OH",DeSales,2013
13,"Guiton, Kenny",QB,SR,6-3,208,"Houston, TX",Eisenhower,2013
87,"Gwilym, Peter",WR,SO,6-1,200,"Freeport, ME",Cheverus,2013
51,"Hale, Joel",DT,JR,6-4,310,"Greenwood, IN",Center Grove,2013
7,"Hall, Jordan",HB,SR,5-9,191,"Jeannette, PA",Jeannette,2013
79,"Hall, Marcus",OL,SR,6-5,315,"Cleveland, OH",Glenville,2013
41,"Haynes, Bryce",LS,SO,6-4,220,"Cumming, GA",Pinecrest Academy,2013
86,"Heuerman, Jeff",TE,JR,6-6,252,"Naples, FL",Barron Collier,2013
46,"Hill, Devin",FB,SO,5-10,226,"Columbus, OH",Northland,2013
77,"Hill, Michael",DL,FR,6-2,305,"Pendleton, SC",Pendleton,2013
98,"Holman, John",DL,JR,6-2,270,"Riverdale, GA",Union Grove,2013
